state,2017_participation,2018_participation,2019_participation
alabama,0.05,0.06,0.07
alaska,0.38,0.43,0.41000000000000003
arizona,0.3,0.29,0.31
arkansas,0.03,0.05,0.06
california,0.53,0.6,0.63
colorado,0.11,1.0,1.0
connecticut,1.0,1.0,1.0
delaware,1.0,1.0,1.0
district of columbia,1.0,0.92,0.9400000000000001
florida,0.8300000000000001,0.56,1.0
georgia,0.61,0.7000000000000001,0.71
hawaii,0.55,0.56,0.54
idaho,0.93,1.0,1.0
illinois,0.09,0.99,1.0
indiana,0.63,0.63,0.66
iowa,0.02,0.03,0.03
kansas,0.04,0.04,0.04
kentucky,0.04,0.04,0.04
louisiana,0.04,0.04,0.05
maine,0.9500000000000001,0.99,0.99
maryland,0.6900000000000001,0.76,0.8200000000000001
massachusetts,0.76,0.8,0.81
michigan,1.0,1.0,1.0
minnesota,0.03,0.04,0.04
mississippi,0.02,0.03,0.03
missouri,0.03,0.04,0.04
montana,0.1,0.1,0.09
nebraska,0.03,0.03,0.03
nevada,0.26,0.23,0.2
new hampshire,0.96,0.96,0.9500000000000001
new jersey,0.7000000000000001,0.8200000000000001,0.8200000000000001
new mexico,0.11,0.16,0.18
new york,0.67,0.79,0.79
north carolina,0.49,0.52,0.51
north dakota,0.02,0.02,0.02
ohio,0.12,0.18,0.19
oklahoma,0.07,0.08,0.22
oregon,0.43,0.48,0.51
pennsylvania,0.65,0.7000000000000001,0.7000000000000001
rhode island,0.71,0.97,1.0
south carolina,0.5,0.55,0.68
south dakota,0.03,0.03,0.03
tennessee,0.05,0.06,0.07
texas,0.62,0.66,0.68
utah,0.03,0.04,0.04
vermont,0.6,0.64,0.66
virginia,0.65,0.68,0.68
washington,0.64,0.6900000000000001,0.7000000000000001
west virginia,0.14,0.28,0.99
wisconsin,0.03,0.03,0.03
wyoming,0.03,0.03,0.03
